Source Name or Platform,URL or Link,Title or Description,Category
arXiv,https://arxiv.org/abs/1501.03054,How to construct an infinitely cyclic universe model (Cyclic Entropy),Scientific
arXiv,https://arxiv.org/abs/2208.06021,Circles of low-variance and Hawking points in the Cosmic Microwave Background (CMB),Scientific
arXiv,https://arxiv.org/abs/2404.10667v2,The detection of Planck-scale physics facilitated by nonlinear quantum optics,Scientific
BBC Science Focus,https://www.sciencefocus.com/comment/physicists-fifth-force,Physicists and the fifth force (Fermilab Muon g-2 experiment),Scientific
bioRxiv,https://www.biorxiv.org/content/10.1101/2025.09.25.678538v1.full.pdf,Whole-brain modelling using partition (Kuramoto/vorticity analogies),Scientific
Frontiers in Astronomy and Space Sciences,https://www.frontiersin.org/journals/astronomy-and-space-sciences/articles/10.3389/fspas.2021.671670/full,The spiral structure in the solar neighborhood,Scientific
MSN,https://www.msn.com/en-us/health/other/scientists-just-discovered-a-whole-new-type-of-connection-between-neurons/ar-AA1OL3lA,Scientists discover a new type of neuronal connection,Scientific
MSN,https://www.msn.com/en-us/travel/article/the-cosmic-rotation-mystery-that-changed-physics/vi-AA1LMran,The cosmic rotation mystery that changed physics,Scientific
MSN,https://www.msn.com/en-us/video/peopleandplaces/how-old-is-the-universe-really/vi-AA1uHOUA,How old is the universe really?,Scientific
MSN,https://www.msn.com/en-us/video/animals/python-physics-lesson-28-change-in-electric-potential-along-a-curved-path/vi-AA1OMyDf,Python physics lesson: change in electric potential along a curved path,Scientific
MSN,https://www.msn.com/en-us/news/technology/animation-of-black-hole-merger-emitting-gravitational-waves/vi-AA1OobUP,Animation of black hole merger emitting gravitational waves,Scientific
MSN,https://www.msn.com/en-us/health/yogapilates/feynman-exercises-the-balance-moon-stone-problem/vi-AA1Op8L3,Feynman exercises the balance moon stone problem,Scientific
MSN,https://www.msn.com/en-us/lifestyle/lifestyle-buzz/the-microscopic-tech-that-could-rebuild-your-body-and-mind/vi-AA1NX7LR,Microscopic tech that could rebuild body and mind,Scientific
MSN,https://www.msn.com/en-us/health/medical/what-speaking-in-tongues-does-to-your-brain/vi-AA1O4YwU,What speaking in tongues does to your brain,Scientific
NASA NTRS,https://ntrs.nasa.gov/api/citations/19940031485/downloads/19940031485.pdf,A new algorithm for identifying vortices in complex flows,Scientific
NCBI PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10102723/,Asymmetry of causation (thermodynamic gradient and interventionist account),Scientific
NCBI PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8224652/,Integrated Information Theory (IIT) axioms and phenomenal experience,Scientific
NCBI PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10788156/,The conformal metric can be said to be cyclic whence Penrose's name for this model,Scientific
Oxford Academic (Brain Communications),https://academic.oup.com/braincomms/article/4/6/fcac249/6750028,Internal model is generated within the sensorimotor system,Scientific
Quanta Magazine,https://www.quantamagazine.org/how-claude-shannons-information-theory-invented-the-future-20201222/,How Claude Shannon's Information Theory Invented the Future,Scientific
ResearchGate,https://www.researchgate.net/publication/270906189_Cyclic_Entropy_An_Alternative_to_Inflationary_Cosmology,Cyclic Entropy: An Alternative to Inflationary Cosmology,Scientific
Spotify,https://open.spotify.com/track/6AshXllQhobwSXsdpgp41w,Sleep Token – Take Me Back to Eden,Cultural
Spotify,https://open.spotify.com/track/3SQLZ2AoHzcxCPZyWjA6us,The Devil Wears Prada – I Am the Speaker but What Is Responsibility?,Cultural
Sydney University News,https://www.sydney.edu.au/news-opinion/news/2023/06/16/scientists-discover-spiral-shaped-signals-that-organise-brain-activity.html,Scientists discover spiral-shaped signals that organise brain activity,Scientific
Wikipedia,https://en.wikipedia.org/wiki/Conformal_cyclic_cosmology,Conformal cyclic cosmology (CCC) model overview,Scientific
Wikipedia,https://en.wikipedia.org/wiki/Pleiades,Pleiades – Star Cluster Overview,Scientific
Yahoo Finance,https://finance.yahoo.com/news/very-troubling-ais-self-investment-spree-sets-off-bubble-alarms-on-wall-street-160524518.html,AI Investment Bubble Alarms on Wall Street,Cultural
YouTube,https://youtu.be/GjkqedrTwZo,Kurzgesagt – How to Survive the End of the Universe,Cultural
YouTube,https://www.youtube.com/watch?v=q-Bbxvxpqvw,"David MacKay's lecture: Information Theory, Inference and Learning Algorithms",Scientific
YouTube,https://www.youtube.com/watch?v=rmBFaNgg4wk,How Claude Shannon Founded Information Theory,Scientific
